Zulassungsnr,Code_Hinweis,Text_Hinweis
034107-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
034107-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
034107-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
00A606-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A606-60,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00B033-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00B033-60,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
006840-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
006840-60,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
027517-62,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
027517-62,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
027517-62,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
007797-65,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
007797-65,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
028972-60,N/A,N/A
00A145-61,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A145-61,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
033317-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
033317-00,NN134,Das Mittel wird als nichtschädigend für Populationen der Art Typhlodromus pyri (Raubmilbe) eingestuft.
00A959-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
004329-62,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
004329-62,NN130,Das Mittel wird als nichtschädigend für Populationen der Arten Pardosa amentata und palustris (Wolfspinnen) eingestuft.
004329-62,NN165,Das Mittel wird als nichtschädigend für Populationen der Art Poecilus cupreus (Laufkäfer) eingestuft.
004329-62,NN1842,Das Mittel wird als nichtschädigend für Populationen der Art Aphidius rhopalosiphi (Brackwespe) eingestuft.
004329-62,NN190,Das Mittel wird als nichtschädigend für Populationen der Art Syrphus corollae (Schwebfliege) eingestuft.
008957-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
008957-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
008957-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
008595-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
008595-60,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
007839-61,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
007839-61,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
007839-61,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
007839-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
007839-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
007839-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
043099-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
043099-00,NN160,Das Mittel wird als nichtschädigend für Populationen der Art Aleochara bilineata (Kurzflügelkäfer) eingestuft.
043099-00,NN161,Das Mittel wird als nichtschädigend für Populationen der Art Coccinella septempunctata (Siebenpunkt-Marienkäfer) eingestuft.
043099-00,NN165,Das Mittel wird als nichtschädigend für Populationen der Art Poecilus cupreus (Laufkäfer) eingestuft.
043099-00,NN170,Das Mittel wird als nichtschädigend für Populationen der Art Chrysoperla carnea (Florfliege) eingestuft.
043099-00,NN183,Das Mittel wird als nichtschädigend für Populationen der Art Encarsia formosa (Erzwespe) eingestuft.
043099-00,NN1842,Das Mittel wird als nichtschädigend für Populationen der Art Aphidius rhopalosiphi (Brackwespe) eingestuft.
053884-00,N/A,N/A
033884-00,NB663,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Bienen nicht gefährdet (B3).
043099-65,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
043099-65,NN160,Das Mittel wird als nichtschädigend für Populationen der Art Aleochara bilineata (Kurzflügelkäfer) eingestuft.
043099-65,NN161,Das Mittel wird als nichtschädigend für Populationen der Art Coccinella septempunctata (Siebenpunkt-Marienkäfer) eingestuft.
043099-65,NN165,Das Mittel wird als nichtschädigend für Populationen der Art Poecilus cupreus (Laufkäfer) eingestuft.
043099-65,NN170,Das Mittel wird als nichtschädigend für Populationen der Art Chrysoperla carnea (Florfliege) eingestuft.
043099-65,NN183,Das Mittel wird als nichtschädigend für Populationen der Art Encarsia formosa (Erzwespe) eingestuft.
043099-65,NN1842,Das Mittel wird als nichtschädigend für Populationen der Art Aphidius rhopalosiphi (Brackwespe) eingestuft.
060122-70,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
060122-70,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
060122-70,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
008047-71,NB663,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Bienen nicht gefährdet (B3).
008047-71,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
008047-71,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
006366-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
006366-00,NN100,Das Mittel wird als nichtschädigend für Populationen relevanter Nutzarthropoden eingestuft.
00A816-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A816-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
008996-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
008996-60,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
008996-60,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
00A282-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A282-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00A282-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
007824-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
007824-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00B100-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00B100-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00B100-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
006396-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
006396-60,NN170,Das Mittel wird als nichtschädigend für Populationen der Art Chrysoperla carnea (Florfliege) eingestuft.
006396-60,NN1842,Das Mittel wird als nichtschädigend für Populationen der Art Aphidius rhopalosiphi (Brackwespe) eingestuft.
008211-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
008541-61,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
006281-62,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A164-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A164-60,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
025090-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
025090-00,NN130,Das Mittel wird als nichtschädigend für Populationen der Arten Pardosa amentata und palustris (Wolfspinnen) eingestuft.
025090-00,NN161,Das Mittel wird als nichtschädigend für Populationen der Art Coccinella septempunctata (Siebenpunkt-Marienkäfer) eingestuft.
025090-00,NN165,Das Mittel wird als nichtschädigend für Populationen der Art Poecilus cupreus (Laufkäfer) eingestuft.
025090-00,NN170,Das Mittel wird als nichtschädigend für Populationen der Art Chrysoperla carnea (Florfliege) eingestuft.
025090-00,NN1842,Das Mittel wird als nichtschädigend für Populationen der Art Aphidius rhopalosiphi (Brackwespe) eingestuft.
008267-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
008267-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00A658-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A658-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00A658-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
025090-63,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
025090-63,NN130,Das Mittel wird als nichtschädigend für Populationen der Arten Pardosa amentata und palustris (Wolfspinnen) eingestuft.
025090-63,NN161,Das Mittel wird als nichtschädigend für Populationen der Art Coccinella septempunctata (Siebenpunkt-Marienkäfer) eingestuft.
025090-63,NN165,Das Mittel wird als nichtschädigend für Populationen der Art Poecilus cupreus (Laufkäfer) eingestuft.
025090-63,NN170,Das Mittel wird als nichtschädigend für Populationen der Art Chrysoperla carnea (Florfliege) eingestuft.
025090-63,NN1842,Das Mittel wird als nichtschädigend für Populationen der Art Aphidius rhopalosiphi (Brackwespe) eingestuft.
028314-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
00A956-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A825-00,NB663,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Bienen nicht gefährdet (B3).
00A825-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00A825-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
008532-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
008532-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
006316-00,N/A,N/A
007818-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
005685-64,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
005685-64,NN130,Das Mittel wird als nichtschädigend für Populationen der Arten Pardosa amentata und palustris (Wolfspinnen) eingestuft.
005685-64,NN160,Das Mittel wird als nichtschädigend für Populationen der Art Aleochara bilineata (Kurzflügelkäfer) eingestuft.
005685-64,NN165,Das Mittel wird als nichtschädigend für Populationen der Art Poecilus cupreus (Laufkäfer) eingestuft.
005685-64,NN170,Das Mittel wird als nichtschädigend für Populationen der Art Chrysoperla carnea (Florfliege) eingestuft.
005685-64,NN1842,Das Mittel wird als nichtschädigend für Populationen der Art Aphidius rhopalosiphi (Brackwespe) eingestuft.
00B275-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00B275-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00B275-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
00A540-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A540-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00A540-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
00A519-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00A519-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00A949-00,NB663,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Bienen nicht gefährdet (B3).
00A949-00,NN000,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Populationen relevanter Nutzorganismen nicht gefährdet.
024487-65,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
024487-65,NN130,Das Mittel wird als nichtschädigend für Populationen der Arten Pardosa amentata und palustris (Wolfspinnen) eingestuft.
024487-65,NN160,Das Mittel wird als nichtschädigend für Populationen der Art Aleochara bilineata (Kurzflügelkäfer) eingestuft.
024487-65,NN165,Das Mittel wird als nichtschädigend für Populationen der Art Poecilus cupreus (Laufkäfer) eingestuft.
024487-65,NN1842,Das Mittel wird als nichtschädigend für Populationen der Art Aphidius rhopalosiphi (Brackwespe) eingestuft.
024487-65,NN191,Das Mittel wird als nichtschädigend für Populationen der Art Episyrphus balteatus (Schwebfliege) eingestuft.
026391-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
026391-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
026391-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
00B225-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00B225-00,NB6644,"Die Anwendung in Mischung mit einem als nicht bienengefährlich eingestuften Insektizid aus der Gruppe der Pyrethroide ist auch während des Bienenfluges an blühenden Pflanzen und an Pflanzen, die von Bienen beflogen werden, erlaubt."
00B225-00,NB6645,"Das Mittel darf in Mischung mit einem als nicht bienengefährlich eingestuften Insektizid aus der Gruppe der Neonikotinoide an blühenden Pflanzen und an Pflanzen, die von Bienen be-flogen werden, angewendet werden, sofern dies ausweislich der Gebrauchsanleitung des Insektizids erlaubt ist."
00B225-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00B006-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
00B006-00,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
00B006-00,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
026173-63,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
024238-00,NB663,Aufgrund der durch die Zulassung festgelegten Anwendungen des Mittels werden Bienen nicht gefährdet (B3).
024238-00,NN160,Das Mittel wird als nichtschädigend für Populationen der Art Aleochara bilineata (Kurzflügelkäfer) eingestuft.
024238-00,NN165,Das Mittel wird als nichtschädigend für Populationen der Art Poecilus cupreus (Laufkäfer) eingestuft.
060122-96,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
060122-96,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
060122-96,NN1002,Das Mittel wird als nicht schädigend für Populationen relevanter Raubmilben und Spinnen eingestuft.
008286-60,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
008286-60,NN1001,Das Mittel wird als nicht schädigend für Populationen relevanter Nutzinsekten eingestuft.
008950-00,NB6641,"Das Mittel wird bis zu der höchsten durch die Zulassung festgelegten Aufwandmenge oder Anwendungskonzentration, falls eine Aufwandmenge nicht vorgesehen ist, als nicht bienengefährlich eingestuft (B4)."
